,191,166,COMPAÑIA COLOMBIANA DE EMPAQUES BATES S.A.,54.465,-4%,2.202,9.459,163.482,21.408,142.075,
,192,182,GRUPO INTEGRADO DE TRANSPORTE MASIVO S.A.,53.738,7%,17.959,-1.520,225.860,177.784,48.076,
,193,180,AUTOMARCALI,53.065,4%,-2.108,26,28.558,11.726,16.832,
,194,176,SUPERMERCADO LIBERTAD & CIA LTDA,52.472,0%,632,382,8.664,6.448,2.216,
,195,218,OPERADORES DE ESTACIONES DE SERVICIO LTDA "OPES LTDA",52.469,27%,619,178,10.481,7.927,2.554,
,196,0,COMERCIALIZADORA AVIV S.A.S.,52.270,ND,1.763,393,24.100,12.971,11.129,
,197,169,COMPAÑIA COLOMBIANA RECICLADORA S.A.,51.783,-7%,1.707,1.327,13.523,3.776,9.747,
,198,185,ALLERS S.A.,50.364,2%,857,977,31.683,15.975,15.708,
,199,183,MERCAPAVA S.A.,49.802,0%,-39,-18,11.035,8.976,2.059,
,200,174,NOEL RODRIGUEZ EUSSE S.A.,49.632,-9%,3.455,2.205,29.906,8.744,21.161,
,201,196,LIBRERIA NACIONAL S.A.,49.123,5%,4.010,13.013,87.913,17.420,70.493,
,202,184,SOLMEDICAL S.A.S.,49.042,-1%,655,273,15.733,13.332,2.401,
,203,199,AVICOLA SANTA RITA S.A.S.,48.787,6%,1.287,-145,48.742,20.714,28.028,
,204,216,GRAFICAS LOS ANDES S.A.,48.764,17%,-736,19.144,45.492,21.322,24.171,
,205,200,ESPUMAS DEL VALLE S.A.,48.708,6%,4.935,3.792,54.076,22.608,31.469,
,206,178,FLEISCHMANN FOODS S.A.,48.701,-5%,-3.745,-3.968,57.141,19.933,37.208,
,207,0,MM PACKAGING COLOMBIA S.A.S.,48.492,ND,-5.746,-4.099,98.401,33.349,65.052,
,208,190,MOMENTIVE QUIMICA S.A.,48.340,0%,3.433,1.431,43.245,21.441,21.805,
,209,210,LAFRANCOL INTERNACIONAL S.A.S.,48.258,9%,31.818,27.501,77.607,9.490,68.117,
,210,188,TRANSPORTADORA DE VALORES ATLAS LTDA,47.987,-1%,2.937,1.807,25.880,12.343,13.537,
,211,205,REFORESTADORA ANDINA S.A.,47.574,6%,36.356,41.507,752.287,8.334,743.953,
,212,145,SYA SERVICIOS Y ASESORIAS S.A.,47.017,-26%,1.506,347,12.670,5.906,6.764,
,213,214,FEDUSE S.A.,46.734,10%,1.549,404,13.019,8.269,4.750,
,214,0,CARVAJAL SERVICIOS S.A.S.,46.704,0%,5.857,5.967,42.975,12.350,30.625,
,215,209,AUTO ORION S.A.S.,46.399,5%,-281,538,14.183,12.255,1.928,
,216,353,ANDINA DE SEGURIDAD DEL VALLE LTDA,46.299,110%,2.163,1.013,11.641,6.145,5.496,
,217,212,IMPORTADORA CALI LTDA,45.777,6%,3.828,2.317,31.015,13.669,17.346,
,218,193,SERVICIOS INTEGRADOS SERTEMPO S.A.,45.724,-4%,1.324,515,11.042,7.707,3.335,
,219,276,FRIGO CARGO INTERNACIONAL SAS,44.718,44%,4.712,2.940,18.712,11.976,6.736,
,220,202,CI COMERGROUP S.A.,44.532,-3%,-1.444,-5.116,43.403,37.629,5.774,
,221,233,ANGEL DIAGNOSTICA S.A.,44.464,16%,3.400,2.535,24.644,17.651,6.993,
,222,232,PROTECNICA INGENIERIA S.A.,44.418,15%,3.591,2.205,39.646,12.442,27.205,
,223,137,LA MARAVILLA S.A.,44.348,-33%,-1.298,437,35.634,23.788,11.847,
,224,197,AGRICOLA AUTOMOTRIZ LTDA,43.767,-6%,1.534,1.037,11.394,3.455,7.939,
,225,206,COBRES DE COLOMBIA LTDA,43.745,-2%,1.329,-176,33.040,18.568,14.473,
,226,245,BRILLADORA EL DIAMANTE S.A.,43.354,20%,2.239,1.527,10.900,4.150,6.750,
,227,195,CASTILLA AGRICOLA S.A.,42.767,-9%,9.188,9.444,443.437,30.552,412.885,
,228,217,PRODUCTORA NACIONAL AVICOLA S.A.,42.756,4%,-383,90,64.296,26.750,37.546,
,229,228,BIOSYSTEMS,42.727,9%,10.454,6.618,40.809,3.771,37.038,
,230,219,INCAUCA SERVICIOS AGRICOLAS Y COSECHA S.A.,42.443,3%,1.491,712,14.731,5.042,9.689,
,231,224,SUPERGIROS S.A.,42.365,8%,2.394,121,29.166,20.238,8.928,
,232,0,COMERCIALIZADORA EL PARAISO DEL EJE S.A.S.,42.355,ND,399,36,8.372,6.048,2.324,
,233,163,ANDROMEDA MOTORS S.A.,42.059,-26%,33,29,10.652,8.415,2.237,
,234,230,INDUSTRIA DE ALIMENTOS CARBEL S.A.,41.520,6%,610,247,6.600,4.708,1.893,
,235,672,SOCIEDAD CLINICA SANTIAGO DE CALI S.A.,41.508,318%,526,156,72.428,42.859,29.569,
,236,223,SOCIEDAD FERRETERA DE COMERCIO S.A.,41.466,3%,1.109,603,10.753,7.206,3.547,
,237,211,LUBRYCO,41.418,-6%,390,319,7.627,4.860,2.767,
,238,240,INDUSTRIA DE HARINAS TULUA LIMITADA,41.150,11%,2.520,477,47.558,12.036,35.521,
,239,237,GRUPO CENAGRO S.A.S.,40.881,9%,1.576,1.144,16.783,9.573,7.210,
,240,283,DIMEL INGENIERIA,40.849,37%,4.124,2.426,25.335,13.123,12.212,
,241,279,PALLOMARO S.A.,40.529,33%,4.216,2.460,36.180,19.776,16.404,
,242,328,MANUELITA INTERNACIONAL S.A.,40.341,67%,40.285,38.419,265.005,1.260,263.745,
,243,0,SOCIEDAD DE COMERCIALIZACION INTERNACIONAL EL GRAN LANGOSTINO EU,40.203,368%,2.133,1.153,16.374,14.156,2.218,
,244,250,CARIBE S.A.S.,40.179,16%,840,153,15.081,10.235,4.846,
,245,208,RESORTES HERCULES S.A.,40.151,-9%,6.924,2.294,41.341,19.844,21.497,
,246,280,AGREGADOS Y MEZCLAS CACHIBI S.A.,39.850,32%,3.199,583,34.823,15.767,19.056,
,247,0,MAURICE ARMITAGE CADAVID & CIA S.A.S.,39.144,379%,34.395,38.135,169.746,33.015,136.732,
,248,229,GRUPO NORMANDIA S.A.,39.112,0%,10.421,3.917,75.420,61.389,14.030,
,249,238,DISTRIBUIDORA SURTIVALLE S.A.S.,39.034,4%,-43,348,12.486,9.301,3.186,
,250,159,INVERSIONES TQ S.A.S.,38.945,-33%,38.845,35.066,664.678,1.132,663.547,
,251,226,HEMATO ONCOLOGOS S.A.,38.875,-1%,3.028,3.566,42.637,30.620,12.016,
,252,235,ELECTRICOS DEL VALLE S.A.,38.678,1%,1.922,1.167,19.513,10.311,9.203,
,253,220,Quesos La Florida S.A.S.,38.466,-6%,2.720,697,11.344,5.953,5.390,
,254,231,FUNDICIONES UNIVERSO S.A.,38.434,0%,3.330,742,44.186,33.992,10.194,
,255,234,INCOMSA S.A.S.,38.371,0%,1.153,444,20.727,9.531,11.196,
,256,270,PLASTIC FILMS INTERNACIONAL S A,37.539,18%,2.420,2.898,41.268,24.988,16.280,
,257,239,GLOBOVENTAS S.A.,37.371,0%,-2.136,81,15.303,7.932,7.371,
,258,207,PRODUCTOS YUPI S.A.S.,37.205,-16%,-6.151,1.697,64.676,26.943,37.733,
,259,215,APEX TOOL GROUP S.A.S.,37.130,-12%,5.251,2.477,33.825,9.003,24.822,
,260,266,IMPORTACIONES Y ASESORIAS TROPI SAS,37.063,14%,2.052,1.043,34.070,6.083,27.986,
,261,201,RX S.A.,37.018,-19%,4.139,1.938,55.205,9.539,45.666,
,262,225,SISTEMAS DE INFORMACION EMPRESARIAL S.A.,36.856,-6%,9.266,5.969,20.281,13.126,7.155,
,263,221,SUMINISTRADORA DE PAPEL SAS,36.781,-9%,553,188,15.487,34.019,-18.532,
,264,301,ADIELA DE LOMBANA S.A.,36.621,34%,769,197,13.884,9.046,4.838,
